jugador;goles;asistencias;tiros;tiros_a_puerta;pases_completados;regates;entradas;intercepciones;despejes
V. Gyökeres;2;0;2;2;2;0;0;0;0
Martín Zubimendi;1;0;1;1;47;0;1;3;0
K. Havertz;0;1;3;0;7;0;1;0;1
L. Trossard;0;1;3;3;34;1;0;0;1
Gabriel Martinelli;0;1;1;1;4;4;1;0;1
E. Eze;0;0;2;1;7;0;0;0;1
D. Rice;0;0;1;0;54;0;2;4;0
Gabriel Jesus;0;0;1;1;6;0;0;0;0
N. Madueke;0;0;1;1;9;0;0;0;3
R. Calafiori;0;0;1;0;17;1;2;0;2
David Raya;0;0;0;0;22;0;0;1;0
J. Timber;0;0;0;0;31;0;0;3;4
Gabriel Magalhães;0;0;0;0;46;0;6;0;1
W. Saliba;0;0;0;0;49;0;9;1;1
P. Hincapié;0;0;0;0;8;0;0;0;0
C. Nørgaard;0;0;0;0;0;0;1;0;0
