jugador;goles;asistencias;tiros;tiros_a_puerta;pases_completados;regates;entradas;intercepciones;despejes;pases_clave;toques_area_rival
N. Madueke;1;0;2;1;17;0;0;0;5;0;9
P. Hincapié;0;1;0;0;42;1;4;0;3;1;4
L. Trossard;0;0;2;2;39;1;1;0;2;1;7
Gabriel Magalhães;0;0;1;1;55;0;9;2;4;0;3
M. Ødegaard;0;0;1;0;16;0;0;0;1;0;5
Gabriel Martinelli;0;0;1;1;2;0;1;0;0;0;1
D. Rice;0;0;0;0;68;1;3;0;2;3;3
David Raya;0;0;0;0;31;0;2;0;0;0;0
J. Timber;0;0;0;0;37;0;1;1;1;1;2
Cristhian Mosquera;0;0;0;0;44;0;8;0;3;0;0
Martín Zubimendi;0;0;0;0;35;0;4;0;1;0;1
E. Eze;0;0;0;0;9;0;1;1;0;0;1
V. Gyökeres;0;0;0;0;8;0;1;0;0;1;4
B. Saka;0;0;0;0;2;0;1;0;0;0;1
R. Calafiori;0;0;0;0;10;0;1;0;0;0;0
