jugador;goles;asistencias;tiros;tiros_a_puerta;pases_completados;regates;entradas;intercepciones;despejes;pases_clave;toques_area_rival
K. Lewis-Potter;1;0;3;1;13;1;0;1;1;0;7
S. van den Berg;0;1;1;0;38;0;5;2;1;1;5
Igor Thiago;0;0;6;5;5;1;0;0;1;1;12
M. Kayode;0;0;1;1;20;1;6;1;2;0;3
D. Ouattara;0;0;1;1;5;1;2;2;0;1;2
R. Henry;0;0;0;0;29;1;5;1;0;0;0
V. Janelt;0;0;0;0;35;1;4;1;1;1;2
Y. Yarmoliuk;0;0;0;0;21;0;0;1;0;0;0
K. Ajer;0;0;0;0;25;0;6;0;2;0;6
C. Kelleher;0;0;0;0;28;0;1;0;0;0;0
M. Jensen;0;0;0;0;24;0;0;0;2;4;3
M. Damsgaard;0;0;0;0;7;0;0;2;1;1;3
J. Henderson;0;0;0;0;7;0;0;1;0;0;2
A. Hickey;0;0;0;0;2;0;0;0;0;0;0
